"Species","Lifespan","Mean lifespan
(±SD)","Median lifespan","Source","Original source","Original source text","Class","Number of species represented in class","Order","Number of species represented in order","Family","Number of species represented in family","Genus","Number of species represented in genus","Number of reported lifespans for species"
"Ictalurus furcatus",21,"20.72 ± 8.61",21,"FishBase","FishBase ref no.: 12193","Hugg, D.O. , 1996 MAPFISH georeferenced mapping database. Freshwater and estuarine fishes of North America. Life Science Software. Dennis O. and Steven Hugg, 1278 Turkey Point Road, Edgewater, Maryland, USA.","Actinopteri",425,"Siluriformes",15,"Ictaluridae",4,"Ictalurus",2,9
"Ictalurus furcatus",4.5,"20.72 ± 8.61",21,"FishBase","FishBase ref no.: 273","Nigrelli, R.F. , 1959 Longevity of fishes in captivity, with special reference to those kept in the New York Aquarium. p. 212-230. In G.E.W. Wolstehnolmen and M. O'Connor (eds.) Ciba Foundation Colloquium on Ageing: the life span of animals. Vol. 5., Churchill, London.","Actinopteri",425,"Siluriformes",15,"Ictaluridae",4,"Ictalurus",2,9
"Ictalurus furcatus",25,"20.72 ± 8.61",21,"FishBase","FishBase ref no.: 117863","Hilling, C.D., A.J. Bunch, R.S. Greenlee, D.J. Orth and Y. Jiao , 2018 Natural mortality and size structure of introduced blue catfish in Virginia tidal rivers. J. Southeast. Assoc. Fish  Wildl. Agenc. 5:30-38.","Actinopteri",425,"Siluriformes",15,"Ictaluridae",4,"Ictalurus",2,9
"Ictalurus furcatus",18,"20.72 ± 8.61",21,"FishBase","FishBase ref no.: 117871","Harty, C.R. , 2017 Investigations of channel catfish and blue catfish population dynamics in the three Tennessee river reservoirs. MSc. Thesis, Tennessee Technological University. 58 p.","Actinopteri",425,"Siluriformes",15,"Ictaluridae",4,"Ictalurus",2,9
"Ictalurus furcatus",37,"20.72 ± 8.61",21,"FishBase","FishBase ref no.: 117871","Harty, C.R. , 2017 Investigations of channel catfish and blue catfish population dynamics in the three Tennessee river reservoirs. MSc. Thesis, Tennessee Technological University. 58 p.","Actinopteri",425,"Siluriformes",15,"Ictaluridae",4,"Ictalurus",2,9
"Ictalurus furcatus",17,"20.72 ± 8.61",21,"FishBase","FishBase ref no.: 117871","Harty, C.R. , 2017 Investigations of channel catfish and blue catfish population dynamics in the three Tennessee river reservoirs. MSc. Thesis, Tennessee Technological University. 58 p.","Actinopteri",425,"Siluriformes",15,"Ictaluridae",4,"Ictalurus",2,9
"Ictalurus furcatus",18,"20.72 ± 8.61",21,"FishBase","FishBase ref no.: 120747","Marshall, M.D., M.J. Maceina and M.P. Holley , 2009 Age and growth variability between sexes of three Catfish Species in Lake Wilson, Alabama. North American Journal of Fisheries Management 29:1283-1286.","Actinopteri",425,"Siluriformes",15,"Ictaluridae",4,"Ictalurus",2,9
"Ictalurus furcatus",25,"20.72 ± 8.61",21,"FishBase","FishBase ref no.: 120747","Marshall, M.D., M.J. Maceina and M.P. Holley , 2009 Age and growth variability between sexes of three Catfish Species in Lake Wilson, Alabama. North American Journal of Fisheries Management 29:1283-1286.","Actinopteri",425,"Siluriformes",15,"Ictaluridae",4,"Ictalurus",2,9
"Ictalurus furcatus",21,"20.72 ± 8.61",21,"AnAge","AnAge ref no.: 454","Froese and Pauly FishBase","Actinopteri",425,"Siluriformes",15,"Ictaluridae",4,"Ictalurus",2,9
"Ictalurus punctatus",24,"17.44 ± 7.6",15.5,"FishBase","FishBase ref no.: 59043","Kottelat, M. and J. Freyhof , 2007 Handbook of European freshwater fishes. Publications Kottelat, Cornol and Freyhof, Berlin. 646 pp.","Actinopteri",425,"Siluriformes",15,"Ictaluridae",4,"Ictalurus",2,16
"Ictalurus punctatus",5,"17.44 ± 7.6",15.5,"FishBase","FishBase ref no.: 273","Nigrelli, R.F. , 1959 Longevity of fishes in captivity, with special reference to those kept in the New York Aquarium. p. 212-230. In G.E.W. Wolstehnolmen and M. O'Connor (eds.) Ciba Foundation Colloquium on Ageing: the life span of animals. Vol. 5., Churchill, London.","Actinopteri",425,"Siluriformes",15,"Ictaluridae",4,"Ictalurus",2,16
"Ictalurus punctatus",12,"17.44 ± 7.6",15.5,"FishBase","FishBase ref no.: 796","Beverton, R.J.H. and S.J. Holt , 1959 A review of the lifespans and mortality rates of fish in nature, and their relation to growth and other physiological characteristics. p. 142-180. In G.E.W. Wolstenholme and M. O'Connor (eds.) CIBA Foundation colloquia on ageing: the lifespan of animals. volume 5. J & A Churchill Ltd, London.","Actinopteri",425,"Siluriformes",15,"Ictaluridae",4,"Ictalurus",2,16
"Ictalurus punctatus",25,"17.44 ± 7.6",15.5,"FishBase","FishBase ref no.: 27549","Murdy, E.O., R.S. Birdsong and J.A. Musick , 1997 Fishes of Chesapeake Bay. Smithsonian Institution Press Washington and London. 324 p.","Actinopteri",425,"Siluriformes",15,"Ictaluridae",4,"Ictalurus",2,16
"Ictalurus punctatus",24,"17.44 ± 7.6",15.5,"FishBase","FishBase ref no.: 59043","Kottelat, M. and J. Freyhof , 2007 Handbook of European freshwater fishes. Publications Kottelat, Cornol and Freyhof, Berlin. 646 pp.","Actinopteri",425,"Siluriformes",15,"Ictaluridae",4,"Ictalurus",2,16
"Ictalurus punctatus",15,"17.44 ± 7.6",15.5,"FishBase","FishBase ref no.: 117871","Harty, C.R. , 2017 Investigations of channel catfish and blue catfish population dynamics in the three Tennessee river reservoirs. MSc. Thesis, Tennessee Technological University. 58 p.","Actinopteri",425,"Siluriformes",15,"Ictaluridae",4,"Ictalurus",2,16
"Ictalurus punctatus",21,"17.44 ± 7.6",15.5,"FishBase","FishBase ref no.: 117871","Harty, C.R. , 2017 Investigations of channel catfish and blue catfish population dynamics in the three Tennessee river reservoirs. MSc. Thesis, Tennessee Technological University. 58 p.","Actinopteri",425,"Siluriformes",15,"Ictaluridae",4,"Ictalurus",2,16
"Ictalurus punctatus",12,"17.44 ± 7.6",15.5,"FishBase","FishBase ref no.: 117871","Harty, C.R. , 2017 Investigations of channel catfish and blue catfish population dynamics in the three Tennessee river reservoirs. MSc. Thesis, Tennessee Technological University. 58 p.","Actinopteri",425,"Siluriformes",15,"Ictaluridae",4,"Ictalurus",2,16
"Ictalurus punctatus",27,"17.44 ± 7.6",15.5,"FishBase","FishBase ref no.: 120600","Eakins, R.J. , 2019 Channel catfish. Ontario Freshwater Fishes Life History Database. Version 4.85. Online database. (http://www.ontariofishes.ca; http://www.ontariofishes.ca/home.htm), accessed 25 June 2019.","Actinopteri",425,"Siluriformes",15,"Ictaluridae",4,"Ictalurus",2,16
"Ictalurus punctatus",12,"17.44 ± 7.6",15.5,"FishBase","FishBase ref no.: 120747","Marshall, M.D., M.J. Maceina and M.P. Holley , 2009 Age and growth variability between sexes of three Catfish Species in Lake Wilson, Alabama. North American Journal of Fisheries Management 29:1283-1286.","Actinopteri",425,"Siluriformes",15,"Ictaluridae",4,"Ictalurus",2,16
"Ictalurus punctatus",9,"17.44 ± 7.6",15.5,"FishBase","FishBase ref no.: 120747","Marshall, M.D., M.J. Maceina and M.P. Holley , 2009 Age and growth variability between sexes of three Catfish Species in Lake Wilson, Alabama. North American Journal of Fisheries Management 29:1283-1286.","Actinopteri",425,"Siluriformes",15,"Ictaluridae",4,"Ictalurus",2,16
"Ictalurus punctatus",24,"17.44 ± 7.6",15.5,"FishBase","FishBase ref no.: 120778","Michigan Department of Natural Resources , 2019 Catfish and bullheads. hhttps://www.michigan.gov/dnr/0,8817,7-350-79135_79218_79614_82672---,00.html. Accessed 8/2019.","Actinopteri",425,"Siluriformes",15,"Ictaluridae",4,"Ictalurus",2,16
"Ictalurus punctatus",8,"17.44 ± 7.6",15.5,"FishBase","FishBase ref no.: 120825","Holtan, P. , 1998 Catfish. PUB-FH- 71 3 98 Rev. Wisconsin Department of Natural Resources, Bureau Fisheries Management. 6 p.","Actinopteri",425,"Siluriformes",15,"Ictaluridae",4,"Ictalurus",2,16
"Ictalurus punctatus",16,"17.44 ± 7.6",15.5,"AnAge","AnAge ref no.: 454","Froese and Pauly FishBase","Actinopteri",425,"Siluriformes",15,"Ictaluridae",4,"Ictalurus",2,16
"Ictalurus punctatus",15,"17.44 ± 7.6",15.5,"The Aquarium Wiki","Unknown",NA,"Actinopteri",425,"Siluriformes",15,"Ictaluridae",4,"Ictalurus",2,16
"Ictalurus punctatus",30,"17.44 ± 7.6",15.5,"The Aquarium Wiki","Unknown",NA,"Actinopteri",425,"Siluriformes",15,"Ictaluridae",4,"Ictalurus",2,16
"Noturus placidus",1,"1 ± NA",1,"Published articles","Bulger, A.G. and Edds, D.R., 2001. Population structure and habitat use in Neosho madtom (Noturus placidus). The Southwestern Naturalist, pp.8-15.",NA,"Actinopteri",425,"Siluriformes",15,"Ictaluridae",4,"Noturus",1,1
"Pangasianodon gigas",10,"22.5 ± 17.68",22.5,"FishBase","FishBase ref no.: 116372","Hogan, Z. , 2017 Pangasianodon gigas. The IUCN Red List of Threatened Species 2011: e.T15944A5324699. http://dx.doi.org/10.2305/IUCN.UK.2011-1.RLTS.T15944A5324699.en. Downloaded on 15 October 2017.","Actinopteri",425,"Siluriformes",15,"Pangasiidae",2,"Pangasianodon",2,2
"Pangasianodon gigas",35,"22.5 ± 17.68",22.5,"FishBase","FishBase ref no.: 116372","Hogan, Z. , 2017 Pangasianodon gigas. The IUCN Red List of Threatened Species 2011: e.T15944A5324699. http://dx.doi.org/10.2305/IUCN.UK.2011-1.RLTS.T15944A5324699.en. Downloaded on 15 October 2017.","Actinopteri",425,"Siluriformes",15,"Pangasiidae",2,"Pangasianodon",2,2
"Pangasianodon hypophthalmus",10.8,"10.8 ± NA",10.8,"Published articles","Baran, E., 2006. Fish migration triggers in the Lower Mekong Basin and other freshwater tropical systems.",NA,"Actinopteri",425,"Siluriformes",15,"Pangasiidae",2,"Pangasianodon",2,1
"Plotosus lineatus",7,"7 ± 0",7,"FishBase","FishBase ref no.: 240","Thresher, R.E. , 1984 Reproduction in reef fishes. T.F.H. Publications, Inc. Ltd., Neptune City, New Jersey. 399 p.","Actinopteri",425,"Siluriformes",15,"Plotosidae",1,"Plotosus",1,2
"Plotosus lineatus",7,"7 ± 0",7,"AnAge","AnAge ref no.: 454","Froese and Pauly FishBase","Actinopteri",425,"Siluriformes",15,"Plotosidae",1,"Plotosus",1,2
"Silurus glanis",80,"42.78 ± 27.43",30,"FishBase","FishBase ref no.: 59043","Kottelat, M. and J. Freyhof , 2007 Handbook of European freshwater fishes. Publications Kottelat, Cornol and Freyhof, Berlin. 646 pp.","Actinopteri",425,"Siluriformes",15,"Siluridae",1,"Silurus",1,9
"Silurus glanis",60,"42.78 ± 27.43",30,"FishBase","FishBase ref no.: 274","Flower, S.S. , 1935 Further notes on the duration of life in animals. I. Fishes: as determined by otolith and scale-readings and direct observations on living individuals. Proc. Zool. Soc. London 2:265-304.","Actinopteri",425,"Siluriformes",15,"Siluridae",1,"Silurus",1,9
"Silurus glanis",30,"42.78 ± 27.43",30,"FishBase","FishBase ref no.: 850","Berg, L., L.S. Bogdanov, N.I. Kozhin and T.S. Rass (eds.) , 1949 Commercial fishes of the USSR. Pshchepromizdat.","Actinopteri",425,"Siluriformes",15,"Siluridae",1,"Silurus",1,9
"Silurus glanis",80,"42.78 ± 27.43",30,"FishBase","FishBase ref no.: 59043","Kottelat, M. and J. Freyhof , 2007 Handbook of European freshwater fishes. Publications Kottelat, Cornol and Freyhof, Berlin. 646 pp.","Actinopteri",425,"Siluriformes",15,"Siluridae",1,"Silurus",1,9
"Silurus glanis",17,"42.78 ± 27.43",30,"FishBase","FishBase ref no.: 93171","Alp, A., C. Kara, F. Üçkardeş, J. Carol and E. García-Berthou , 2011 Age and growth of the European catfish (Silurus glanis) in a Turkish Reservoir and comparison with introduced populations. Rev. Fish Biol. Fisheries 21:283-294.","Actinopteri",425,"Siluriformes",15,"Siluridae",1,"Silurus",1,9
"Silurus glanis",16,"42.78 ± 27.43",30,"FishBase","FishBase ref no.: 97111","Harka, A. , 1984 Studies on the growth of sheatfish (Silurus glanis L.) in River Tisza. Aquacultura Hungarica (Szarvas) 4:135-144.","Actinopteri",425,"Siluriformes",15,"Siluridae",1,"Silurus",1,9
"Silurus glanis",60,"42.78 ± 27.43",30,"AnAge","AnAge ref no.: 543","Nigrelli (1954) Some longevity records for vertebrates","Actinopteri",425,"Siluriformes",15,"Siluridae",1,"Silurus",1,9
"Silurus glanis",12,"42.78 ± 27.43",30,"The Aquarium Wiki","Unknown",NA,"Actinopteri",425,"Siluriformes",15,"Siluridae",1,"Silurus",1,9
"Silurus glanis",30,"42.78 ± 27.43",30,"The Aquarium Wiki","Unknown",NA,"Actinopteri",425,"Siluriformes",15,"Siluridae",1,"Silurus",1,9
"Bagarius yarrelli",5,"7.5 ± 3.54",7.5,"The Aquarium Wiki","Unknown",NA,"Actinopteri",425,"Siluriformes",15,"Sisoridae",1,"Bagarius",1,2
"Bagarius yarrelli",10,"7.5 ± 3.54",7.5,"The Aquarium Wiki","Unknown",NA,"Actinopteri",425,"Siluriformes",15,"Sisoridae",1,"Bagarius",1,2
"Acanthopagrus latus",14,"14 ± NA",14,"FishBase","FishBase ref no.: 72458","Jarzhombek, A.A. , 2007 Compilation of studies on the growth of Acanthopterygii. Russian Federal Research Institute of Fisheries and Oceanography (VNIRO). 86 p.","Actinopteri",425,"Spariformes",5,"Sparidae",5,"Acanthopagrus",1,1
"Diplodus sargus",10,"11.38 ± 3.89",10,"FishBase","FishBase ref no.: 26328","Gordoa, A. and B. Molí , 1997 Age and growth of the sparids Diplodus vulgaris, D. sargus and D. annularis in adult populations and the differences in their juvenile growth patterns in the north-western Mediterranean Sea. Fish. Res. 33(1-3):123-129.","Actinopteri",425,"Spariformes",5,"Sparidae",5,"Diplodus",1,8
"Diplodus sargus",10,"11.38 ± 3.89",10,"FishBase","FishBase ref no.: 26328","Gordoa, A. and B. Molí , 1997 Age and growth of the sparids Diplodus vulgaris, D. sargus and D. annularis in adult populations and the differences in their juvenile growth patterns in the north-western Mediterranean Sea. Fish. Res. 33(1-3):123-129.","Actinopteri",425,"Spariformes",5,"Sparidae",5,"Diplodus",1,8
