FP009042 ftsj1_1
FP006495 cpda_1
FP002282 dlb_1
FP007112 pdcl_2
FP003624 CCDC120-1_1
FP010105 tgif1_1
FP004652 chordc1b_1
FP009731 ndrg3b_1
FP009566 TP53BP2-2_1
FP008012 efna1a_1
FP006234 cstf2_1
FP000703 kif1ab_1
FP010203 si:ch73-93k15.5_1
FP002613 si:ch211-114n24.6_1
FP007371 jade1_1
FP003381 arl8_1
FP000925 slc39a6_1
FP000334 smox_1
FP007636 bicd1a_1
FP005441 tcf7l2_2
FP006594 mff_1
FP010100 tmem14ca_1
FP008196 ldlrap1a_1
FP007780 hipk3b_1
FP005896 fam135a_1
FP002784 hdlbpa_1
FP004756 hmgb1a_1
FP009656 aar2_1
FP009615 ptk7a_2
FP009918 slc2a12_1
FP007010 eif3ea_1
FP009382 si:ch73-44m9.1_1
FP009952 SNRPG_1
FP003312 mns1_1
FP010597 NPTN-1_1
FP007590 cog8_1
FP004748 smg8_1
FP001712 wnt16_1
FP004607 rab36_1
FP009549 sde2_1
FP006029 magt1_1
FP004175 hao2_1
FP003445 rps17_1
FP000093 lratb_1
FP006622 wdfy1_1
FP008977 npdc1_1
FP006172 map7d3_1
FP004505 nfil3_1
FP003664 zgc:86586_1
FP002173 sfrp1a_1
FP000424 psen2_1
FP004053 atp5g3a_1
FP010246 smpx_1
FP008934 otpa_1
FP005764 ddx43_1
FP009283 ddx46_2
FP008973 pnpla7a_1
FP006920 zgc:171704_1
FP003464 mad2l1_1
FP000303 fbxo8_1
FP005816 diexf_1
FP008651 sesn1_2
FP002677 march7_1
FP000970 si:dkeyp-12a9.5_1
FP002633 wdr12_1
FP005552 tp53bp2_1
FP005761 si:dkey-187a12.4_1
FP001525 stxbp2_1
FP005573 mea1_1
FP005244 slc4a1b_1
FP006961 zufsp_1
FP010379 hps5_1
FP003226 alox12_1
FP006875 jarid2a_1
FP009168 mtmr1b_1
FP006888 trim35-28_1
FP006604 rps5_1
FP001203 maptb_1
FP008129 adnp2b_1
FP007679 zfpm1_1
FP003299 igdcc3_1
FP009480 polr2eb_1
FP000813 nol7_1
FP010021 tgm2a_1
FP005908 polr1b_1
FP003754 aldh9a1a.1_1
FP000873 gpr160_1
FP007078 zgc:161979-1_1
FP008733 dnajc5ga_1
FP010587 cadps2_1
FP003931 praf2_1
FP010653 HIST2H3PS2-1_1
FP007993 ccdc127b_1
FP008753 cep85l_1
FP009275 ube2b_1
FP006377 tmprss13a_1
FP001971 vkorc1l1_1
FP001455 lfng_1
FP009900 asxl1_1
FP009231 limk1b_1
FP007878 abcc5_1
FP000613 SLC35A3-2_1
FP006239 gar1_1
FP009712 rybpa_1
FP000135 slc25a4_1
FP002471 TTF1-6_1
FP007704 vwa9_1
FP007444 mboat2a_1
FP000877 dapk3_1
FP008195 tmem57a_1
FP000779 cdh18_1
FP006247 sfxn5b_1
FP004772 usp25_1
FP004002 CABIN1-1_1
FP002706 GCA_1
FP005683 ftr14l_1
FP003358 tnnt3b_1
FP000248 zc3h13_1
FP006244 higd2a_1
FP007102 tap1_1
FP000803 lipin2_1
FP000406 USMG5_1
FP007385 strn3_1
FP005023 fam83d_1
FP007202 lgals3l_1
FP009361 rad23ab_1
FP001377 zgc:163143_1
FP002727 stx8_1
FP003183 pygmb_1
FP010133 psme1_1
FP002598 RBM26_1
FP002427 prkrip1_1
FP010295 gbx1_1
FP009966 tuba1a_1
FP006742 epn1_1
FP000946 pask_1
FP008983 ehmt1b_1
FP010384 tmpob_1
FP002399 fkbp6_1
FP005319 msrb1b_1
FP004130 abi2a_1
FP009046 sdhaf1_1
FP008820 rhpn1_1
FP003184 tnfsf10l_1
FP006025 hspa9_1
FP009333 zgc:174224-1_1
FP001611 gas2l3_1
FP009859 wnt10b_1
FP005745 ap3m1_1
FP002205 rabl5_1
FP000794 fam173b_1
FP000652 cnn3b_1
FP003855 fancc_1
FP000718 gtf2b_1
FP000428 esf1_1
FP009875 sst3_1
FP002024 ube2l3b_1
FP001116 pitpnbl_1
FP007573 mycbp_1
FP005913 btaf1_1
FP006293 nudt8_1
FP001195 cdipt_1
FP000058 si:ch1073-345a8.1_1
FP006809 hoxa9b_1
FP002226 myhz1.3_1
FP004283 si:dkey-100n23.5_1
FP005195 fra10ac1_1
FP000304 cep44_1
FP004728 SKA2_1
FP002483 ptrh1_1
FP010666 zgc:165555-4_1
FP006161 ubl3b_1
FP009175 cdc23_1
FP000375 lipt1_1
FP009254 ankrd46a_1
FP005118 park7_1
FP002533 TMEM116_1
FP008852 DTWD2_1
FP005076 fam212aa_1
FP009796 ubr4_1
FP006238 adh5_1
FP003350 arhgap1_1
FP000565 egfra_1
FP002014 fbxw8_1
FP003180 rbm4.2_1
FP010353 acvr2b_1
FP007989 hsd17b8_1
FP004470 triap1_1
FP002577 trim107_1
FP008394 lama2_1
FP009155 asl_1
FP007621 arsa_1
FP006767 has2_1
FP002624 ttc26_1
FP002903 IP6K2-2_1
FP003222 cd99l2_1
FP009771 abhd6b_1
FP006781 gapdh_1
FP001632 cog5_1
FP004131 si:ch211-67e16.4_1
FP008764 mllt4_1
FP008306 zgc:110239_1
FP001554 cdr2a_1
FP001067 pick1_1
FP004280 SENP7-2_1
FP009916 eya4_1
FP001496 qtrt1_1
FP005263 C12H10orf88_1
FP005904 morn4_1
FP005785 trmt2b_1
FP001412 tubg1_1
FP004544 itga1_1
FP005378 fbxo11a_1
FP004342 asmtl_1
FP005461 si:dkeyp-67e6.4_1
FP001899 si:dkey-22h13.2_1
FP006547 hspa13_1
FP002324 zfr_1
FP001292 rpl27_1
FP009062 il7r_1
FP003784 dnmt3b_1
FP000564 mmp16b_1
FP003199 txn_1
FP010237 pdk3a_1
FP009057 skp2_2
FP006445 dlc_1
FP002604 mtif2_1
FP006073 zgc:66433_2
FP000683 nrn1b_1
FP001892 si:dkey-191j3.3_1
FP006155 efemp2a_1
FP010512 samm50_1
FP007799 si:ch211-195m9.3_1
FP007830 si:ch211-235f12.2_1
FP006333 taf15_1
FP007888 fli1a_1
FP006931 mcl1b_1
FP006131 tgfbi_1
FP005883 syne2b_1
FP000832 prpf4ba_1
FP010637 wwp2_2
FP006479 ercc2_1
FP006474 si:dkey-182i3.8_1
FP010456 usb1_1
FP005561 bag2_1
FP007942 bop1_1
FP008455 dtl_1
FP004421 mettl5_1
FP000875 phc3_1
FP007657 trabd_1
FP002155 oclnb_1
FP005880 tmx1_1
FP004284 mid1ip1a_1
FP005487 slc38a10_1
FP005715 vps26a_1
FP005535 C7orf62_1
FP006266 prom1a_1
FP001508 dnajb1a_1
FP009855 larp4aa_1
FP001546 cant1a_2
FP006080 ndufs8b_1
FP000231 dnajb14_1
FP004113 umps_1
FP010310 si:ch211-40k21.5_1
FP003811 TSPY2_1
FP009915 rps12_1
FP004255 armc8_1
FP007661 si:dkey-103i16.2_1
FP007586 fam168a_1
FP000928 apom_1
FP000543 dsg2l_1
FP006748 dbpb_1
FP001027 si:dkeyp-68b7.10_1
FP007765 si:dkey-77f17.1_1
FP006040 selt2_1
FP003323 esrp2_1
FP003693 tor3a_1
FP000414 npnt_1
FP010571 phrf1_1
FP002393 ptar1_1
FP009136 slc23a1_1
FP000965 ftr24_1
FP002859 zranb2_1
FP009149 rrm1_1
FP006647 eif3k_1
FP001427 zgc:100868_1
FP005996 hbegfa_1
FP010273 prmt6_1
FP006000 brd8_1
FP002029 h2afva_1
FP005119 akr7a3_1
FP000844 ptch2_1
FP009735 sdcbp2_1
FP003603 ciao1_1
FP008106 hoxa3a_5
FP002951 CHL1-1_1
FP009392 si:ch211-222k6.1_1
FP001337 prr12b_1
FP006351 hnrnpl2_1
FP010586 asb15a_1
FP007953 rragcb_1
FP002374 col4a3bpa_2
FP001660 apex1_1
FP009815 plekhm2_1
FP000910 spsb4a_1
FP005001 csf1a_1
FP004164 wdr4_1
FP010157 PTGDS-3_1
FP005661 ckba_1
FP010182 dlec1_1
FP009246 zcchc10_1
FP008057 seh1l_1
FP002958 pbrm1l_1
FP009467 stx6_1
FP004810 wdr45_1
FP003551 hsd17b4_1
FP006968 pnisr_1
FP006497 EXO5_1
